filename,classname,alpha0,alpha1,alpha2,alpha3,alpha4,alpha5,a0,a1,a2,a3,a4,a5,d1,d2,d3,d4,d5,d6,th1,th2,th3,th4,th5,th6,parallel_234
Dobot_CR10.py,Dobot_CR10,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,607.0,568.0,0.0,0.0,176.5,0.0,0.0,191.0,125.0,111.4,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Dobot_CR10A.py,Dobot_CR10A,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,607.0,568.0,0.0,0.0,176.5,0.0,0.0,191.0,125.0,111.4,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Dobot_CR12.py,Dobot_CR12,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,557.0,518.0,0.0,0.0,176.0,0.0,0.0,191.0,125.0,111.4,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Dobot_CR12A.py,Dobot_CR12A,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,557.0,518.0,0.0,0.0,176.0,0.0,0.0,191.0,125.0,111.4,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Dobot_CR16.py,Dobot_CR16,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,512.0,363.0,0.0,0.0,176.5,0.0,0.0,191.0,125.0,111.4,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Dobot_CR16A.py,Dobot_CR16A,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,512.0,363.0,0.0,0.0,176.5,0.0,0.0,191.0,125.0,111.4,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Dobot_CR20A.py,Dobot_CR20A,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,825.2,746.0,0.0,0.0,195.0,0.0,0.0,175.6,128.0,130.6,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Dobot_CR3.py,Dobot_CR3,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,274.0,230.0,0.0,0.0,134.8,0.0,0.0,128.3,116.0,105.0,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Dobot_CR3A.py,Dobot_CR3A,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,274.0,230.0,0.0,0.0,134.8,0.0,0.0,128.3,116.0,105.0,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Dobot_CR3L.py,Dobot_CR3L,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,807.0,777.0,0.0,0.0,176.5,0.0,0.0,187.0,116.0,105.0,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Dobot_CR5.py,Dobot_CR5,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,427.0,357.0,0.0,0.0,147.0,0.0,0.0,141.0,116.0,105.0,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Dobot_CR5A.py,Dobot_CR5A,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,427.0,357.0,0.0,0.0,147.0,0.0,0.0,141.0,116.0,105.0,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Dobot_CR7.py,Dobot_CR7,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,377.0,307.0,0.0,0.0,147.0,0.0,0.0,141.0,116.0,116.0,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Dobot_CR7A.py,Dobot_CR7A,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,377.0,307.0,0.0,0.0,147.0,0.0,0.0,141.0,116.0,116.0,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Dobot_Magician_E6.py,Dobot_Magician_E6,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,189.0,160.0,0.0,0.0,168.2,0.0,0.0,90.5,101.0,66.0,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
